,x [mm],y [mm],u_rms [m/s],v_rms [m/s],u [m/s],w,v [m/s],Reynold_stress_uv,case_name,trailing_edge,phi [deg],alpha [deg],U [m/s],z [z/lambda],vorticity_xy,u_rate_of_change,y_plus,u_plus
0,-0.994082840237,1.12977099237,1.8385092751,0.859915081899,7.42863554236,0.0704175664799,0.224925341211,-1.47491850946,STE_phi0_alpha0_U20_loc00.dat,straight,0,0,20,0,-1951.85365751,1.87478575718,39.2260364866,14.078866253
1,-0.994082840237,1.27099236641,1.84690980414,0.886156415981,7.69339536303,0.0692005437252,0.252827549535,-1.48823926456,STE_phi0_alpha0_U20_loc00.dat,straight,0,0,20,0,-1852.0916844,1.84687728902,44.1292910474,14.5806432056
2,-0.994082840237,1.41221374046,1.86088744504,0.901656739731,7.95421391148,0.0730087179612,0.279544547176,-1.51398742793,STE_phi0_alpha0_U20_loc00.dat,straight,0,0,20,0,-1831.47915715,1.79270307561,49.0325456082,15.0749505974
3,-0.994082840237,1.5534351145,1.87430597376,0.918232363775,8.20738190307,0.0778519297988,0.316551605764,-1.53605762924,STE_phi0_alpha0_U20_loc00.dat,straight,0,0,20,0,-1806.84184638,1.77478463437,53.935800169,15.5547585343
4,-0.994082840237,1.69465648855,1.8895999463,0.932721585561,8.45801942777,0.0797921805699,0.353645514211,-1.56130150735,STE_phi0_alpha0_U20_loc00.dat,straight,0,0,20,0,-1788.04690278,1.76537047358,58.8390547299,16.0297706907
5,-0.994082840237,1.8358778626,1.89453160177,0.945233686358,8.70732747175,0.0839065103557,0.393327672153,-1.57929599892,STE_phi0_alpha0_U20_loc00.dat,straight,0,0,20,0,-1775.34289478,1.76390449254,63.7423092907,16.5022631945
6,-0.994082840237,1.97709923664,1.89694646786,0.958130202299,8.95642848788,0.0897783827182,0.436800136186,-1.59460283201,STE_phi0_alpha0_U20_loc00.dat,straight,0,0,20,0,-1781.11753963,1.79303272901,68.6455638515,16.9743633358
7,-0.994082840237,2.11832061069,1.89690135099,0.969085428358,9.20964303358,0.0949342506026,0.479895381891,-1.60103633307,STE_phi0_alpha0_U20_loc00.dat,straight,0,0,20,0,-1814.74339889,1.83485600397,73.5488184123,17.4542595027
8,-0.994082840237,2.25954198473,1.89333309989,0.977189964652,9.46876391963,0.0991176391026,0.522131971805,-1.5952001143,STE_phi0_alpha0_U20_loc00.dat,straight,0,0,20,0,-1841.11526128,1.8432747145,78.4520729731,17.9453494583
9,-0.994082840237,2.40076335878,1.88888903516,0.984119833894,9.72907370756,0.104699072281,0.561581477234,-1.58755195388,STE_phi0_alpha0_U20_loc00.dat,straight,0,0,20,0,-1854.24797425,1.83644736597,83.355327534,18.4386926392
10,-0.994082840237,2.54198473282,1.88301963597,0.984971424433,9.98841932794,0.111849709609,0.593600062597,-1.5749838894,STE_phi0_alpha0_U20_loc00.dat,straight,0,0,20,0,-1847.07514911,1.83016691519,88.2585820948,18.9302085147
11,-0.994082840237,2.68320610687,1.87764643014,0.985308417219,10.2468780144,0.118155514347,0.624980585495,-1.56331632306,STE_phi0_alpha0_U20_loc00.dat,straight,0,0,20,0,-1815.13487573,1.77804645101,93.1618366556,19.4200434593
12,-0.994082840237,2.82442748092,1.87788476517,0.988003124647,10.4979761774,0.127788834725,0.65343557722,-1.56057996228,STE_phi0_alpha0_U20_loc00.dat,straight,0,0,20,0,-1765.24769503,1.73966942028,98.0650912164,19.8959286245
13,-0.994082840237,2.96564885496,1.8819716792,0.987555843659,10.7436546833,0.134895740615,0.683222369571,-1.56521071414,STE_phi0_alpha0_U20_loc00.dat,straight,0,0,20,0,-1701.70615318,1.68088596037,102.968345777,20.361542371
14,-0.994082840237,3.10687022901,1.88504605915,0.981009551512,10.9810317082,0.135454675246,0.715280901678,-1.5703923112,STE_phi0_alpha0_U20_loc00.dat,straight,0,0,20,0,-1638.0181175,1.61313135314,107.871600338,20.8114230209
15,-0.994082840237,3.24809160305,1.88036310554,0.974073420307,11.2088403344,0.135090593607,0.749163867682,-1.56271468992,STE_phi0_alpha0_U20_loc00.dat,straight,0,0,20,0,-1603.9358642,1.62680366838,112.774854899,21.2431694919
16,-0.994082840237,3.3893129771,1.87365669442,0.966915336639,11.4385797838,0.137638100141,0.783300095541,-1.54991622876,STE_phi0_alpha0_U20_loc00.dat,straight,0,0,20,0,-1639.77114121,1.6879546067,117.67810946,21.6785752891
17,-0.994082840237,3.53053435115,1.86823080575,0.952879468929,11.6769550527,0.144885151549,0.817076311506,-1.5349208566,STE_phi0_alpha0_U20_loc00.dat,straight,0,0,20,0,-1663.48530847,1.68179919148,122.581364021,22.1303478265
18,-0.994082840237,3.67175572519,1.86189772802,0.939945228548,11.9144610454,0.150360057928,0.850888022639,-1.52008517825,STE_phi0_alpha0_U20_loc00.dat,straight,0,0,20,0,-1688.51648358,1.74541462024,127.484618581,22.5804728981
19,-0.994082840237,3.81297709924,1.84708354225,0.931727708356,12.1609508963,0.145596875415,0.89194562318,-1.48410716474,STE_phi0_alpha0_U20_loc00.dat,straight,0,0,20,0,-1726.5319651,1.74448994582,132.387873142,23.0476243184
20,-0.994082840237,3.95419847328,1.83251346077,0.923677502684,12.4073101635,0.141064404779,0.933176736881,-1.4482198763,STE_phi0_alpha0_U20_loc00.dat,straight,0,0,20,0,-1730.87291336,1.75991725337,137.291127703,23.5145282542
