,x [mm],y [mm],v_rms [m/s],u_rms [m/s],u [m/s],v [m/s],case_name,trailing_edge,phi [deg],alpha [deg],U [m/s],z [z/lambda],vorticity_xy,u_rate_of_change,y_plus,u_plus
0,-0.994082840237,1.0658436214,0.916343200498,1.81338933998,7.45851974193,0.228861648865,STE_phi0_alpha0_U20_loc00.dat,straight,0,0,20,0,-1934.88198894,1.87071969821,37.0265455564,14.1278338199
1,-0.994082840237,1.21810699588,0.946871924028,1.82058366949,7.7433618359,0.258179584327,STE_phi0_alpha0_U20_loc00.dat,straight,0,0,20,0,-1848.92979971,1.83262825888,42.3160520644,14.6673781139
2,-0.994082840237,1.37037037037,0.965770474758,1.83433436917,8.02240399877,0.288226456855,STE_phi0_alpha0_U20_loc00.dat,straight,0,0,20,0,-1828.89819515,1.78645593571,47.6055585725,15.1959362518
3,-0.994082840237,1.52263374486,0.98788780335,1.84591940382,8.29441580791,0.329544836005,STE_phi0_alpha0_U20_loc00.dat,straight,0,0,20,0,-1796.54294944,1.76693838528,52.8950650806,15.7111775824
4,-0.994082840237,1.67489711934,1.00644586828,1.85874118793,8.56345580896,0.369831179753,STE_phi0_alpha0_U20_loc00.dat,straight,0,0,20,0,-1785.92812568,1.7684277837,58.1845715886,16.2207897518
5,-0.994082840237,1.82716049383,1.02199912816,1.85833211549,8.83272259085,0.414954202351,STE_phi0_alpha0_U20_loc00.dat,straight,0,0,20,0,-1771.44192399,1.7671657308,63.4740780967,16.7308314865
6,-0.994082840237,1.97942386831,1.03773621189,1.8591633789,9.10179720829,0.462049234902,STE_phi0_alpha0_U20_loc00.dat,straight,0,0,20,0,-1799.12401904,1.82765789849,68.7635846047,17.2405092258
7,-0.994082840237,2.1316872428,1.04734042024,1.85521097421,9.38008256732,0.507691674937,STE_phi0_alpha0_U20_loc00.dat,straight,0,0,20,0,-1835.7204514,1.84152376953,74.0530911128,17.7676338354
8,-0.994082840237,2.28395061728,1.05625301586,1.85047321957,9.66047919067,0.552355076422,STE_phi0_alpha0_U20_loc00.dat,straight,0,0,20,0,-1851.58601967,1.83850645931,79.3425976208,18.2987575751
9,-0.994082840237,2.43621399177,1.05721526159,1.84455142226,9.94041638818,0.587784931908,STE_phi0_alpha0_U20_loc00.dat,straight,0,0,20,0,-1849.93870663,1.83314668415,84.6321041289,18.8290110762
10,-0.994082840237,2.58847736626,1.05623218712,1.83896773213,10.2195374882,0.621718825168,STE_phi0_alpha0_U20_loc00.dat,straight,0,0,20,0,-1819.07381966,1.78172763593,89.9216106369,19.3577187359
11,-0.994082840237,2.74074074074,1.05909686933,1.83858446856,10.4908293505,0.65266349499,STE_phi0_alpha0_U20_loc00.dat,straight,0,0,20,0,-1767.3383764,1.73936503703,95.211117145,19.8715963523
12,-0.994082840237,2.89300411523,1.05930240869,1.84267852288,10.7556709405,0.684766565893,STE_phi0_alpha0_U20_loc00.dat,straight,0,0,20,0,-1697.27662279,1.67260201952,100.500623653,20.3732559445
13,-0.994082840237,3.04526748971,1.05143231346,1.84605892634,11.0103469682,0.719513914925,STE_phi0_alpha0_U20_loc00.dat,straight,0,0,20,0,-1632.17016885,1.61117240399,105.790130161,20.855660057
